image,camera,date,plant_slot_right_to_left,plant_present,image_usable,growth_stage,highest_visible_x_px,highest_visible_y_px,top_visible_collar_x_px,top_visible_collar_y_px,flag_leaf_tip_x_px,flag_leaf_tip_y_px,ground_contact_x_px,ground_contact_y_px,top_occlusion,base_occlusion,confidence,notes
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,1,,,,,,,,,,,,,,,
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,2,,,,,,,,,,,,,,,
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,3,,,,,,,,,,,,,,,
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,4,,,,,,,,,,,,,,,
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,5,,,,,,,,,,,,,,,
11430.21-C-009_2021-07-12-10-32_CAM374.JPG,C-009,2021-07-12,6,,,,,,,,,,,,,,,
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,1,,,,,,,,,,,,,,,
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,2,,,,,,,,,,,,,,,
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,3,,,,,,,,,,,,,,,
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,4,,,,,,,,,,,,,,,
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,5,,,,,,,,,,,,,,,
A641.21-C-038_2021-07-12-10-24_CAM176.JPG,C-038,2021-07-12,6,,,,,,,,,,,,,,,
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,1,,,,,,,,,,,,,,,
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,2,,,,,,,,,,,,,,,
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,3,,,,,,,,,,,,,,,
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,4,,,,,,,,,,,,,,,
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,5,,,,,,,,,,,,,,,
B73.21-C-011_2021-07-12-11-09_CAM397.JPG,C-011,2021-07-12,6,,,,,,,,,,,,,,,
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,1,,,,,,,,,,,,,,,
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,2,,,,,,,,,,,,,,,
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,3,,,,,,,,,,,,,,,
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,4,,,,,,,,,,,,,,,
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,5,,,,,,,,,,,,,,,
B73.21-C-029_2021-07-12-10-57_CAM573.JPG,C-029,2021-07-12,6,,,,,,,,,,,,,,,
C-004_2021-07-02.JPG,C-004,2021-07-02,1,,,,,,,,,,,,,,,
C-004_2021-07-02.JPG,C-004,2021-07-02,2,,,,,,,,,,,,,,,
C-004_2021-07-02.JPG,C-004,2021-07-02,3,,,,,,,,,,,,,,,
C-004_2021-07-02.JPG,C-004,2021-07-02,4,,,,,,,,,,,,,,,
C-004_2021-07-02.JPG,C-004,2021-07-02,5,,,,,,,,,,,,,,,
C-004_2021-07-02.JPG,C-004,2021-07-02,6,,,,,,,,,,,,,,,
C-004_2021-07-11.JPG,C-004,2021-07-11,1,,,,,,,,,,,,,,,
C-004_2021-07-11.JPG,C-004,2021-07-11,2,,,,,,,,,,,,,,,
C-004_2021-07-11.JPG,C-004,2021-07-11,3,,,,,,,,,,,,,,,
C-004_2021-07-11.JPG,C-004,2021-07-11,4,,,,,,,,,,,,,,,
C-004_2021-07-11.JPG,C-004,2021-07-11,5,,,,,,,,,,,,,,,
C-004_2021-07-11.JPG,C-004,2021-07-11,6,,,,,,,,,,,,,,,
C-004_2021-07-18.JPG,C-004,2021-07-18,1,,,,,,,,,,,,,,,
C-004_2021-07-18.JPG,C-004,2021-07-18,2,,,,,,,,,,,,,,,
C-004_2021-07-18.JPG,C-004,2021-07-18,3,,,,,,,,,,,,,,,
C-004_2021-07-18.JPG,C-004,2021-07-18,4,,,,,,,,,,,,,,,
C-004_2021-07-18.JPG,C-004,2021-07-18,5,,,,,,,,,,,,,,,
C-004_2021-07-18.JPG,C-004,2021-07-18,6,,,,,,,,,,,,,,,
C-004_2021-07-30.JPG,C-004,2021-07-30,1,,,,,,,,,,,,,,,
C-004_2021-07-30.JPG,C-004,2021-07-30,2,,,,,,,,,,,,,,,
C-004_2021-07-30.JPG,C-004,2021-07-30,3,,,,,,,,,,,,,,,
C-004_2021-07-30.JPG,C-004,2021-07-30,4,,,,,,,,,,,,,,,
C-004_2021-07-30.JPG,C-004,2021-07-30,5,,,,,,,,,,,,,,,
C-004_2021-07-30.JPG,C-004,2021-07-30,6,,,,,,,,,,,,,,,
C-004_2021-08-06.JPG,C-004,2021-08-06,1,,,,,,,,,,,,,,,
C-004_2021-08-06.JPG,C-004,2021-08-06,2,,,,,,,,,,,,,,,
C-004_2021-08-06.JPG,C-004,2021-08-06,3,,,,,,,,,,,,,,,
C-004_2021-08-06.JPG,C-004,2021-08-06,4,,,,,,,,,,,,,,,
C-004_2021-08-06.JPG,C-004,2021-08-06,5,,,,,,,,,,,,,,,
C-004_2021-08-06.JPG,C-004,2021-08-06,6,,,,,,,,,,,,,,,
C-005_2021-07-11.JPG,C-005,2021-07-11,1,,,,,,,,,,,,,,,
C-005_2021-07-11.JPG,C-005,2021-07-11,2,,,,,,,,,,,,,,,
C-005_2021-07-11.JPG,C-005,2021-07-11,3,,,,,,,,,,,,,,,
C-005_2021-07-11.JPG,C-005,2021-07-11,4,,,,,,,,,,,,,,,
C-005_2021-07-11.JPG,C-005,2021-07-11,5,,,,,,,,,,,,,,,
C-005_2021-07-11.JPG,C-005,2021-07-11,6,,,,,,,,,,,,,,,
C-005_2021-07-18.JPG,C-005,2021-07-18,1,,,,,,,,,,,,,,,
C-005_2021-07-18.JPG,C-005,2021-07-18,2,,,,,,,,,,,,,,,
C-005_2021-07-18.JPG,C-005,2021-07-18,3,,,,,,,,,,,,,,,
C-005_2021-07-18.JPG,C-005,2021-07-18,4,,,,,,,,,,,,,,,
C-005_2021-07-18.JPG,C-005,2021-07-18,5,,,,,,,,,,,,,,,
C-005_2021-07-18.JPG,C-005,2021-07-18,6,,,,,,,,,,,,,,,
C-005_2021-07-30.JPG,C-005,2021-07-30,1,,,,,,,,,,,,,,,
C-005_2021-07-30.JPG,C-005,2021-07-30,2,,,,,,,,,,,,,,,
C-005_2021-07-30.JPG,C-005,2021-07-30,3,,,,,,,,,,,,,,,
C-005_2021-07-30.JPG,C-005,2021-07-30,4,,,,,,,,,,,,,,,
C-005_2021-07-30.JPG,C-005,2021-07-30,5,,,,,,,,,,,,,,,
C-005_2021-07-30.JPG,C-005,2021-07-30,6,,,,,,,,,,,,,,,
C-005_2021-08-06.JPG,C-005,2021-08-06,1,,,,,,,,,,,,,,,
C-005_2021-08-06.JPG,C-005,2021-08-06,2,,,,,,,,,,,,,,,
C-005_2021-08-06.JPG,C-005,2021-08-06,3,,,,,,,,,,,,,,,
C-005_2021-08-06.JPG,C-005,2021-08-06,4,,,,,,,,,,,,,,,
C-005_2021-08-06.JPG,C-005,2021-08-06,5,,,,,,,,,,,,,,,
C-005_2021-08-06.JPG,C-005,2021-08-06,6,,,,,,,,,,,,,,,
C-009_2021-07-11.JPG,C-009,2021-07-11,1,,,,,,,,,,,,,,,
C-009_2021-07-11.JPG,C-009,2021-07-11,2,,,,,,,,,,,,,,,
C-009_2021-07-11.JPG,C-009,2021-07-11,3,,,,,,,,,,,,,,,
C-009_2021-07-11.JPG,C-009,2021-07-11,4,,,,,,,,,,,,,,,
C-009_2021-07-11.JPG,C-009,2021-07-11,5,,,,,,,,,,,,,,,
C-009_2021-07-11.JPG,C-009,2021-07-11,6,,,,,,,,,,,,,,,
C-009_2021-07-18.JPG,C-009,2021-07-18,1,,,,,,,,,,,,,,,
C-009_2021-07-18.JPG,C-009,2021-07-18,2,,,,,,,,,,,,,,,
C-009_2021-07-18.JPG,C-009,2021-07-18,3,,,,,,,,,,,,,,,
C-009_2021-07-18.JPG,C-009,2021-07-18,4,,,,,,,,,,,,,,,
