rowid,plantid,date_md,date,height_true,height_est_cm,height_sam
C_004,p1,07_02,2021-07-02,46,52.40163029126214,48.6586566990291
C_004,p1,07_11,2021-07-11,60,74.85947184466019,74.8594718446602
C_004,p1,07_18,2021-07-18,132,108.13034822006472,106.882690355987
C_004,p1,07_30,2021-07-30,70,105.21914653721684,103.139716763754
C_004,p1,08_06,2021-08-06,110,110.83360692556634,95.653769579288
C_004,p3,07_02,2021-07-02,74,63.83849404530744,54.8969460194175
C_004,p3,07_11,2021-07-11,82,94.82199766990291,92.7425678964401
C_004,p3,07_18,2021-07-18,130,122.89429961165048,133.915277411003
C_004,p3,07_30,2021-07-30,136,132.251733592233,133.499391456311
C_004,p3,08_06,2021-08-06,132,129.75641786407766,145.97597009708701
C_004,p4,07_02,2021-07-02,60,66.1258667961165,57.8081477022654
C_004,p4,07_11,2021-07-11,84,96.48554148867314,97.3173133980582
C_004,p4,07_18,2021-07-18,130,124.76578640776698,129.756417864078
C_004,p4,07_30,2021-07-30,140,153.87780323624594,133.915277411003
C_004,p4,08_06,2021-08-06,140,144.52036925566344,130.588189773463
C_005,p1,07_11,2021-07-11,113,131.83584763754044,128.50876
C_005,p1,07_18,2021-07-18,140,154.08574621359222,116.032181359223
C_005,p1,07_30,2021-07-30,144,168.22586867313916,114.784523495146
C_005,p1,08_06,2021-08-06,144,153.87780323624594,121.854584724919
C_005,p4,07_11,2021-07-11,78,111.45743585760518,103.555602718447
C_005,p4,07_18,2021-07-18,120,127.67698809061488,103.555602718447
C_005,p4,07_30,2021-07-30,130,128.50876,129.756417864078
C_005,p4,08_06,2021-08-06,130,125.5975583171521,130.588189773463
C_005,p5,07_11,2021-07-11,108,113.95275158576052,116.863953268608
C_005,p5,07_18,2021-07-18,132,136.82647909385113,132.251733592233
C_005,p5,07_30,2021-07-30,140,144.936255210356,127.261102135922
C_005,p5,08_06,2021-08-06,138,133.91527741100325,130.17230381877
C_009,p1,07_11,2021-07-11,78,78.18655948220065,77.3547875728155
C_009,p1,07_18,2021-07-18,120,116.0321813592233,114.784523495146
C_009,p1,07_30,2021-07-30,142,149.71894368932038,154.293689190938
C_009,p1,08_06,2021-08-06,148,146.8077420064725,143.896540323625
C_009,p2,07_11,2021-07-11,70,86.71222155339805,85.2566207119741
C_009,p2,07_18,2021-07-18,100,102.72383080906148,103.971488673139
C_009,p2,07_30,2021-07-30,126,136.41059313915858,135.578821229773
C_009,p2,08_06,2021-08-06,132,133.4993914563107,134.331163365696
C_009,p3,07_11,2021-07-11,58,78.6024454368932,71.1164982524272
C_009,p3,07_18,2021-07-18,90,96.90142744336568,98.1490853074434
C_009,p3,07_30,2021-07-30,146,150.34277262135922,153.877803236246
C_009,p3,08_06,2021-08-06,136,145.97597009708738,149.71894368932
C_010,p1,07_02,2021-07-02,70,74.85947184466019,73.6118139805825
C_010,p1,07_11,2021-07-11,90,114.36863754045308,93.1584538511327
C_010,p1,07_18,2021-07-18,120,114.36863754045308,107.29857631068
C_010,p1,07_30,2021-07-30,116,116.0321813592233,114.784523495146
C_010,p2,07_02,2021-07-02,60,77.7706735275081,71.9482701618123
C_010,p2,07_11,2021-07-11,78,111.04154990291262,88.9995943042071
C_010,p2,07_18,2021-07-18,110,113.1209796763754,112.705093721683
C_010,p2,07_30,2021-07-30,112,120.8148698381877,119.775154951456
C_010,p3,07_02,2021-07-02,80,77.35478757281554,78.6024454368932
C_010,p3,07_11,2021-07-11,70,98.14908530744336,84.0089628478964
C_011,p1,07_11,2021-07-11,96,108.54623417475727,99.396743171521
C_011,p1,07_18,2021-07-18,100,136.61853611650486,108.546234174757
C_011,p1,07_30,2021-07-30,196,211.8938939158576,225.82607339805801
C_011,p2,07_11,2021-07-11,86,106.67474737864076,84.0089628478964
C_011,p2,07_18,2021-07-18,110,126.01344427184466,107.29857631068
C_011,p2,07_30,2021-07-30,196,210.4382930744337,231.648476763754
C_011,p3,07_11,2021-07-11,86,94.19816873786408,76.1071297087379
C_011,p3,07_18,2021-07-18,110,127.67698809061488,118.111611132686
C_011,p3,07_30,2021-07-30,196,216.676582394822,215.013038576052
C_021,p3,07_02,2021-07-02,48,75.89918673139158,45.3315690614887
C_021,p4,07_02,2021-07-02,40,76.52301566343041,74.4435858899676
C_021,p4,07_11,2021-07-11,58,95.8617125566343,88.167822394822
C_021,p4,07_18,2021-07-18,114,97.31731339805825,126.013444271845
C_021,p4,07_30,2021-07-30,110,86.92016453074433,104.387374627832
C_024,p1,07_02,2021-07-02,60,59.67963449838187,50.7380864724919
C_024,p1,07_11,2021-07-11,62,103.97148867313916,69.452954433657
C_024,p1,07_18,2021-07-18,100,121.43869877022654,113.536865631068
C_024,p1,07_30,2021-07-30,116,137.2423650485437,113.952751585761
C_024,p2,07_02,2021-07-02,70,71.11649825242718,69.0370684789644
C_024,p2,07_11,2021-07-11,54,103.5556027184466,74.8594718446602
C_024,p2,07_18,2021-07-18,118,116.8639532686084,121.022812815534
C_024,p2,07_30,2021-07-30,112,122.6863566343042,122.270470679612
C_024,p3,07_02,2021-07-02,80,73.8197569579288,59.8875774757282
C_024,p3,07_11,2021-07-11,62,101.89205889967636,61.5511212944984
C_024,p3,07_18,2021-07-18,118,118.9433830420712,116.863953268608
C_024,p3,07_30,2021-07-30,118,123.93401449838188,116.448067313916
C_029,p1,07_02,2021-07-02,60,66.54175275080905,63.2146651132686
C_029,p1,07_11,2021-07-11,88,96.06965553398058,88.9995943042071
C_029,p1,07_18,2021-07-18,110,130.17230381877022,126.013444271845
C_029,p1,07_30,2021-07-30,196,210.23035009708735,203.784117799353
C_029,p1,08_06,2021-08-06,210,212.10183689320388,213.765380711974
C_029,p4,07_02,2021-07-02,66,68.20529656957929,57.3922617475728
C_029,p4,07_11,2021-07-11,90,107.71446226537216,88.5837083495146
C_029,p4,07_18,2021-07-18,130,143.06476841423947,128.092874045307
C_029,p4,07_30,2021-07-30,204,217.5083543042071,220.003670032362
C_029,p4,08_06,2021-08-06,200,217.9242402588997,220.835441941748
C_029,p5,07_02,2021-07-02,64,75.89918673139158,81.0977611650485
C_029,p5,07_11,2021-07-11,100,108.96212012944984,106.050918446602
C_029,p5,07_18,2021-07-18,140,155.5413470550162,145.560084142395
C_029,p5,07_30,2021-07-30,204,217.9242402588997,218.340126213592
C_029,p5,08_06,2021-08-06,190,216.05275346278316,215.013038576052
C_032,p1,07_02,2021-07-02,50,58.84786258899676,52.4016302912621
C_032,p1,07_11,2021-07-11,88,89.83136621359223,81.5136471197411
C_032,p1,07_18,2021-07-18,104,114.36863754045308,96.4855414886731
C_032,p1,07_30,2021-07-30,130,124.5578434304207,118.111611132686
C_032,p2,07_02,2021-07-02,60,65.70998084142394,65.2940948867314
C_032,p2,07_11,2021-07-11,76,93.57433980582525,76.5230156634304
C_032,p2,07_18,2021-07-18,90,115.82423838187702,116.448067313916
C_032,p2,07_30,2021-07-30,120,136.41059313915858,134.331163365696
C_032,p4,07_02,2021-07-02,56,74.44358588996764,71.1164982524272
C_032,p4,07_11,2021-07-11,78,99.39674317152104,98.9808572168285
C_032,p4,07_18,2021-07-18,120,134.12322038834952,124.765786407767
C_032,p4,07_30,2021-07-30,140,142.6488824595469,121.022812815534
C_037,p2,07_02,2021-07-02,60,58.01609067961165,53.649288155339804
C_037,p2,07_11,2021-07-11,64,86.50427857605177,63.6305510679612
C_037,p2,07_30,2021-07-30,94,94.40611171521036,107.714462265372
C_037,p2,08_06,2021-08-06,90,91.910795987055,102.307944854369
C_037,p3,07_02,2021-07-02,68,61.967007249190935,59.4716915210356
C_037,p3,07_11,2021-07-11,66,88.58370834951457,68.6211825242718
C_037,p3,07_30,2021-07-30,102,95.65376957928802,109.793892038835
C_037,p3,08_06,2021-08-06,100,98.14908530744336,108.130348220065
C_037,p4,07_02,2021-07-02,60,62.38289320388349,50.3222005177994
C_037,p4,07_11,2021-07-11,60,76.73095864077669,49.0745426537217
C_037,p4,07_30,2021-07-30,114,118.52749708737863,111.457435857605
C_037,p4,08_06,2021-08-06,112,115.82423838187702,98.9808572168285
C_038,p1,07_11,2021-07-11,90,42.00448142394822,38.2615078317152
C_038,p1,07_30,2021-07-30,140,79.85010330097087,74.0276999352751
C_038,p1,08_06,2021-08-06,142,84.84073475728155,74.0276999352751
C_039,p1,07_02,2021-07-02,76,75.06741482200647,69.452954433657
C_039,p1,07_11,2021-07-11,80,106.88269035598704,95.2378836245955
C_039,p1,07_18,2021-07-18,120,129.3405319093851,128.50876
C_039,p1,07_30,2021-07-30,120,151.79837346278316,116.863953268608
C_039,p1,08_06,2021-08-06,120,154.70957514563108,147.639513915858
C_039,p2,07_02,2021-07-02,72,83.17719093851133,75.6912437540453
C_039,p2,07_11,2021-07-11,78,111.45743585760518,99.8126291262136
C_039,p2,07_18,2021-07-18,120,134.12322038834952,125.597558317152
C_039,p2,07_30,2021-07-30,110,155.5413470550162,150.134829644013
C_039,p2,08_06,2021-08-06,110,155.12546110032363,135.162935275081
C_039,p3,07_02,2021-07-02,80,79.85010330097087,78.6024454368932
C_039,p3,07_11,2021-07-11,92,114.57658051779936,88.5837083495146
C_039,p3,07_18,2021-07-18,120,133.0835055016181,148.887171779935
C_039,p3,07_30,2021-07-30,150,156.78900491909386,123.934014498382
C_039,p3,08_06,2021-08-06,140,147.22362796116505,130.17230381877
