site,biological_row_id,plant_global_rtl,plant_uid,measurement_round_within_site,measurement_datetime,measurement_date,manual_height_cm,source_sheet,source_cell
Marsden,M-0006,1,M-0006-p01,1,2024-07-05T09:30:00-05:00,2024-07-05,78.0,Plant height ground truth-cm,D2
Marsden,M-0006,1,M-0006-p01,2,2024-07-10T13:12:00-05:00,2024-07-10,81.0,Plant height ground truth-cm,F2
Marsden,M-0006,1,M-0006-p01,3,2024-07-15T08:05:00-05:00,2024-07-15,93.0,Plant height ground truth-cm,G2
Marsden,M-0006,1,M-0006-p01,4,2024-07-18T08:30:00-05:00,2024-07-18,105.0,Plant height ground truth-cm,H2
Marsden,M-0006,1,M-0006-p01,5,2024-07-23T09:07:00-05:00,2024-07-23,122.0,Plant height ground truth-cm,I2
Marsden,M-0006,1,M-0006-p01,6,2024-07-28T08:30:00-05:00,2024-07-28,140.0,Plant height ground truth-cm,J2
Marsden,M-0006,2,M-0006-p02,1,2024-07-05T09:30:00-05:00,2024-07-05,66.0,Plant height ground truth-cm,D3
Marsden,M-0006,2,M-0006-p02,2,2024-07-10T13:12:00-05:00,2024-07-10,82.0,Plant height ground truth-cm,F3
Marsden,M-0006,2,M-0006-p02,3,2024-07-15T08:05:00-05:00,2024-07-15,105.0,Plant height ground truth-cm,G3
Marsden,M-0006,2,M-0006-p02,4,2024-07-18T08:30:00-05:00,2024-07-18,117.0,Plant height ground truth-cm,H3
Marsden,M-0006,2,M-0006-p02,5,2024-07-23T09:07:00-05:00,2024-07-23,137.0,Plant height ground truth-cm,I3
Marsden,M-0006,2,M-0006-p02,6,2024-07-28T08:30:00-05:00,2024-07-28,167.0,Plant height ground truth-cm,J3
Marsden,M-0006,3,M-0006-p03,1,2024-07-05T09:30:00-05:00,2024-07-05,57.0,Plant height ground truth-cm,D4
Marsden,M-0006,3,M-0006-p03,2,2024-07-10T13:12:00-05:00,2024-07-10,86.0,Plant height ground truth-cm,F4
Marsden,M-0006,3,M-0006-p03,3,2024-07-15T08:05:00-05:00,2024-07-15,111.0,Plant height ground truth-cm,G4
Marsden,M-0006,3,M-0006-p03,4,2024-07-18T08:30:00-05:00,2024-07-18,116.0,Plant height ground truth-cm,H4
Marsden,M-0006,3,M-0006-p03,5,2024-07-23T09:07:00-05:00,2024-07-23,147.0,Plant height ground truth-cm,I4
Marsden,M-0006,3,M-0006-p03,6,2024-07-28T08:30:00-05:00,2024-07-28,172.0,Plant height ground truth-cm,J4
Marsden,M-0006,4,M-0006-p04,1,2024-07-05T09:30:00-05:00,2024-07-05,55.0,Plant height ground truth-cm,D5
Marsden,M-0006,4,M-0006-p04,2,2024-07-10T13:12:00-05:00,2024-07-10,80.0,Plant height ground truth-cm,F5
Marsden,M-0006,4,M-0006-p04,3,2024-07-15T08:05:00-05:00,2024-07-15,101.0,Plant height ground truth-cm,G5
