rowid,date_md,plant,match_score,crop_h,crop_w,x_root_full,y_top_full,y_root_full,height_px,frame_h,frame_w,source
C_004,07_02,p1,0.9981,118,86,568,706,823,117,1030,773,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG
C_004,07_02,p3,0.9846,133,92,335,681,813,132,1030,773,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG
C_004,07_02,p4,0.9977,140,78,262,677,816,139,1030,773,LH85.21-C-004_2021-07-02-12-07_CAM789.JPG
C_004,07_11,p1,0.9842,181,106,578,628,808,180,1030,773,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG
C_004,07_11,p3,0.9862,224,94,344,576,799,223,1030,773,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG
C_004,07_11,p4,0.9901,235,83,273,562,796,234,1030,773,LH85.21-C-004_2021-07-11-17-24_CAM789.JPG
C_004,07_18,p1,0.9926,258,143,572,544,801,257,1030,773,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG
C_004,07_18,p3,0.9922,323,101,337,476,798,322,1030,773,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG
C_004,07_18,p4,0.9936,313,92,267,484,796,312,1030,773,LH85.21-C-004_2021-07-18-17-52_CAM789.JPG
C_004,07_30,p1,0.994,253,261,663,570,822,252,1030,773,LH85.21-C-004_2021-07-30-17-26_CAM789.JPG
C_004,07_30,p3,0.9916,447,104,338,340,786,446,1030,773,LH85.21-C-004_2021-07-30-17-26_CAM789.JPG
C_004,07_30,p4,0.9967,456,77,269,329,784,455,1030,773,LH85.21-C-004_2021-07-30-17-26_CAM789.JPG
C_004,08_06,p1,0.9958,342,146,603,443,784,341,1030,773,LH85.21-C-004_2021-08-06-18-49_CAM789.JPG
C_004,08_06,p3,0.9928,436,75,340,340,775,435,1030,773,LH85.21-C-004_2021-08-06-18-49_CAM789.JPG
C_004,08_06,p4,0.9953,437,90,267,331,767,436,1030,773,LH85.21-C-004_2021-08-06-18-49_CAM789.JPG
C_005,07_11,p1,0.9931,310,84,618,492,801,309,1030,773,CO255.21-C-005_2021-07-11-14-43_CAM811.JPG
C_005,07_11,p4,0.9914,250,126,313,525,774,249,1030,773,CO255.21-C-005_2021-07-11-14-43_CAM811.JPG
C_005,07_11,p5,0.9915,282,178,235,488,769,281,1030,773,CO255.21-C-005_2021-07-11-14-43_CAM811.JPG
C_005,07_18,p1,0.9925,485,152,605,311,795,484,1030,773,CO255.21-C-005_2021-07-18-11-39_CAM811.JPG
C_005,07_18,p4,0.993,407,108,300,363,769,406,1030,773,CO255.21-C-005_2021-07-18-11-39_CAM811.JPG
C_005,07_18,p5,0.9877,445,154,203,340,784,444,1030,773,CO255.21-C-005_2021-07-18-11-39_CAM811.JPG
C_005,07_30,p1,0.9923,491,155,593,311,801,490,1030,773,CO255.21-C-005_2021-07-30-11-45_CAM811.JPG
C_005,07_30,p4,0.9933,414,85,299,354,767,413,1030,773,CO255.21-C-005_2021-07-30-11-45_CAM811.JPG
C_005,07_30,p5,0.9962,433,141,225,335,766,431,1030,773,CO255.21-C-005_2021-07-30-11-45_CAM811.JPG
C_005,08_06,p1,0.9903,477,184,606,306,782,476,1030,773,CO255.21-C-005_2021-08-06-13-23_CAM811.JPG
C_005,08_06,p4,0.9945,411,81,301,354,764,410,1030,773,CO255.21-C-005_2021-08-06-13-23_CAM811.JPG
C_005,08_06,p5,0.9947,435,137,224,330,764,434,1030,773,CO255.21-C-005_2021-08-06-13-23_CAM811.JPG
C_009,07_11,p1,0.9894,187,70,444,697,883,186,1030,773,11430.21-C-009_2021-07-11-13-26_CAM374.JPG
C_009,07_11,p2,0.9938,206,86,372,711,916,205,1030,773,11430.21-C-009_2021-07-11-13-26_CAM374.JPG
C_009,07_11,p3,0.9889,172,78,282,741,912,171,1030,773,11430.21-C-009_2021-07-11-13-26_CAM374.JPG
C_009,07_18,p1,0.9887,277,93,432,587,863,276,1030,773,11430.21-C-009_2021-07-18-16-20_CAM374.JPG
C_009,07_18,p2,0.9932,251,100,365,622,872,250,1030,773,11430.21-C-009_2021-07-18-16-20_CAM374.JPG
C_009,07_18,p3,0.9926,237,93,284,647,883,236,1030,773,11430.21-C-009_2021-07-18-16-20_CAM374.JPG
C_009,07_30,p1,0.9973,467,91,423,362,828,466,1030,773,11430.21-C-009_2021-07-30-13-22_CAM374.JPG
C_009,07_30,p2,0.9948,415,62,360,417,831,414,1030,773,11430.21-C-009_2021-07-30-13-22_CAM374.JPG
C_009,07_30,p3,0.995,450,91,278,395,844,449,1030,773,11430.21-C-009_2021-07-30-13-22_CAM374.JPG
C_009,08_06,p1,0.9959,448,103,425,363,810,447,1030,773,11430.21-C-009_2021-08-06-14-14_CAM374.JPG
C_009,08_06,p2,0.9959,423,74,365,403,825,422,1030,773,11430.21-C-009_2021-08-06-14-14_CAM374.JPG
C_009,08_06,p3,0.9926,459,96,281,386,844,458,1030,773,11430.21-C-009_2021-08-06-14-14_CAM374.JPG
C_010,07_02,p1,0.9932,178,62,605,664,841,177,1030,773,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG
C_010,07_02,p2,0.9896,174,94,518,672,845,173,1030,773,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG
C_010,07_02,p3,0.9915,190,92,438,647,836,189,1030,773,CO106.21-C-010_2021-07-02-18-19_CAM405.JPG
C_010,07_11,p1,0.9941,225,214,534,616,840,224,1030,773,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG
C_010,07_11,p2,0.9943,215,107,486,596,810,214,1030,773,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG
C_010,07_11,p3,0.9942,203,234,467,701,903,202,1030,773,CO106.21-C-010_2021-07-11-15-03_CAM405.JPG
C_010,07_18,p1,0.9951,318,121,606,503,820,317,1030,773,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG
C_010,07_18,p2,0.9975,336,75,529,500,835,335,1030,773,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG
C_010,07_18,p3,0.9955,347,100,452,481,827,346,1030,773,CO106.21-C-010_2021-07-18-14-58_CAM405.JPG
C_010,07_30,p1,0.9955,337,62,602,480,816,336,1030,773,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG
C_010,07_30,p2,0.9931,364,135,526,466,829,363,1030,773,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG
C_010,07_30,p3,0.9948,349,97,459,466,814,348,1030,773,CO106.21-C-010_2021-07-30-14-12_CAM405.JPG
C_011,07_11,p1,0.9939,240,106,633,548,787,239,1030,773,B73.21-C-011_2021-07-11-17-41_CAM397.JPG
