image,rowid,date_code,plant_id_rtl,x_top,y_top,x_root,y_root,x1,y1,x2,y2,height_px,_13,dataset_key,camera_genotype,pole_start_date,observation_date,capture_datetime,target_time,query_window,available_images_in_window,daily_images_count,file_size_bytes,sha256,image_id,image_width_px,calibration_history_count,calibration_available,calibration_reference_image_id,reference_calibration_datetime,reference_n_landmarks,reference_base_gap_px,reference_min_landmark_y_px,reference_max_landmark_y_px,reference_pole_fit_rmse_in,reference_pole_fit_max_abs_error_in,reference_gap_regularity,reference_line_rmse_px,reference_a,reference_b,reference_c,reference_y_center,reference_y_scale,days_after_first_camera_image,x_root_fraction,plant_position_ltr,tracking_distance_fraction,tracking_status,tracking_initialization_image_id,plant_uid,camera_track_count,camera_tracking_qc,pole_top_relative_ft,pole_base_relative_ft,pole_calibrated_height_cm,vertical_extrapolation_px,vertical_extrapolation_band_units,vertical_extrapolation_flag,height_range_flag,depth_match_status,pole_geometry_qc,primary_quality_flag,provisional_quality_flag,measurement_sd_cm,measurement_uncertainty_status,calibration_selection_rule,tracking_rule,online_asof_timestamp,previous_pole_height_cm,height_change_from_previous_cm,large_decrease_flag,transferred_single_frame_cm,transferred_measurement_sd_cm,online_sequence_number,elapsed_days,predictive_mean_cm,predictive_sd_cm,predictive_q025_cm,predictive_q05_cm,predictive_q10_cm,predictive_q25_cm,predictive_median_cm,predictive_q75_cm,predictive_q90_cm,predictive_q95_cm,predictive_q975_cm,predictive_log_score,predictive_pit,last_observation_prediction_cm,linear_extrapolation_prediction_cm,posterior_mean_cm,posterior_sd_cm,posterior_q025_cm,posterior_q10_cm,posterior_median_cm,posterior_q90_cm,posterior_q975_cm,posterior_growth_mean_cm_day,posterior_growth_sd_cm_day,outlier_posterior_probability,effective_sample_size,ewma_cm,running_median3_cm,holt_cm,gaussian_kalman_cm,biological_row_id,camera_position,plant_global_rtl,measurement_date
C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH.JPG,,6_29,6,150,720,164,839.0,114,717,193,851,119,10,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-06-29T00:00:00,2024-06-29 11:34:00,11:45,11:00-12:00,2,48,652153,bc377116aaaa864c9359702f737a7255f76882d824c2f923e1eaf8223b6bfcef,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,773,2,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,1,0.2121604139715394,1.0,0.0,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,1.6906929302148763,-1.2165483752785091,88.6127149914384,42.40540540540542,0.9986399388977472,True,False,unknown,pass,False,True,8.937243071961312,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-06-29T11:34:00,,,False,47.978389883980064,15.576904037723354,1,0.0,,,,,,,,,,,,,,,,48.0347476466499,15.523433900906422,18.018024702665922,28.289913550161344,47.9245535774835,67.79928474722571,78.89080332860226,3.026671495769117,1.9726989136731097,,5000.0,47.978389883980064,47.978389883980064,47.978389883980064,47.978389883980064,M-0006,L,12,2024-06-29
C-M-0006-L.21-M1744-4.2024-06-30-11-36.NL5RH.JPG,,6_30,5,138,724,158,844.5,94,719,194,853,126,15,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-06-30T00:00:00,2024-06-30 11:36:00,11:45,11:00-12:00,2,48,604456,4e50f0533c3a1bf8b9b55791ac1514655b4cffeb81f0e5b4094b200c8f4d0475,C-M-0006-L.21-M1744-4.2024-06-30-11-36.NL5RH,773,2,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,2,0.2082794307891332,1.0,0.0077619663648124,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,1.5936530789857448,-1.3519401900851935,89.7816828412822,47.90540540540542,1.1281639845100426,True,False,unknown,pass,False,True,8.982145577489526,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-06-30T11:36:00,88.6127149914384,1.16896784984381,False,50.53513140377731,15.576904037723354,2,1.0013888888888889,51.0868845780665,28.93837952900177,-3.844028670913082,7.28236761451414,17.989894030589152,34.06777978972763,51.090664069153775,68.08652467698182,84.12505804712751,94.87273417970653,106.18727994383262,-4.14052269400363,0.4911571536497375,47.978389883980064,47.978389883980064,50.805163452512986,12.006163568293548,27.368497102028783,35.60887811729586,50.77373781859011,66.03470228629972,74.23797331838662,3.003042634971699,2.014125971930019,0.032004583196626524,4147.138261233567,49.256760643878685,49.256760643878685,49.256760643878685,50.726774483107235,M-0006,L,11,2024-06-30
C-M-0006-L.21-M1744-4.2024-07-01-11-49.NL5RH.JPG,,7_01,6,117,709,130,840.75,78,706,159,849,128,22,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-01T00:00:00,2024-07-01 11:49:00,11:45,11:00-12:00,2,49,606290,c58c76fa79f4b83d9e8d043d71c86d1d56677bdd7ec70e95ac46084d0a9bcec4,C-M-0006-L.21-M1744-4.2024-07-01-11-49.NL5RH,773,3,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,3,0.1882276843467011,1.0,0.0401034928848641,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,1.9573096262385337,-1.259617707436073,98.05194513040205,44.15540540540542,1.039852135228932,True,False,unknown,pass,False,True,9.03464755601185,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-01T11:49:00,89.7816828412822,8.270262289119827,False,51.26562898086223,15.576904037723354,3,1.0090277777777779,53.79164636158073,27.17376240777865,2.6369379022517356,13.507855794347678,23.51139125409272,38.287882577294305,53.847602292660326,69.3449969411194,83.96473710474883,93.83491453535908,104.59331504787228,-4.056307572416134,0.4550777313714227,50.53513140377731,53.111376499661766,52.68918390778632,10.996211807135772,30.715938121017807,38.778204775991036,52.88760802164944,66.61219957412884,74.29705527456372,2.984637127647138,2.0458133308477247,0.02977335654007604,3361.8318882945646,50.26119481237046,50.53513140377731,50.39000706716468,52.55742915461232,M-0006,L,12,2024-07-01
C-M-0006-L.21-M1744-4.2024-07-02-11-50.NL5RH.JPG,,7_02,6,122,694,140,838.375,68,680,187,853,142,28,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-02T00:00:00,2024-07-02 11:50:00,11:45,11:00-12:00,2,48,557040,eac32eeaabf2783990e8b30b0f70766dfb474ad801cdcacd0d8b18fadb013440,C-M-0006-L.21-M1744-4.2024-07-02-11-50.NL5RH,773,4,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,4,0.1846701164294955,1.0,0.0071151358344113,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,2.320304777139292,-1.2011687052331197,107.3345117427111,41.78040540540542,0.9839212973508956,True,False,unknown,pass,False,True,9.113714570075976,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-02T11:50:00,98.05194513040205,9.282566612309068,False,56.379112020456716,15.576904037723354,4,1.0006944444444446,55.69743942811913,26.75044352351803,5.633535639315535,16.392416988664095,26.164198239900294,40.54267549504105,55.70810551291342,70.86989322747947,85.21955959533847,94.93881968414814,105.61985047942903,-4.02539447845978,0.5119856180112887,51.26562898086223,51.99009354285767,56.0107967410829,10.678969283671865,35.158155254438476,42.34401216818198,56.10252050041757,69.80306395465364,76.86155362045537,3.0017642055350526,2.0598969250418424,0.02897620986916033,2777.738522810282,53.32015341641359,51.26562898086223,53.599147002119224,55.915095853886655,M-0006,L,12,2024-07-02
C-M-0006-L.21-M1744-4.2024-07-03-11-50.NL5RH.JPG,,7_03,6,150,700,161,836.6875,115,695,193,853,135,34,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-03T00:00:00,2024-07-03 11:50:00,11:45,11:00-12:00,2,48,611311,809d36f85d382624ddfd09a93fd4fe540d374374fd0331045fe911fabbc4ceca,C-M-0006-L.21-M1744-4.2024-07-03-11-50.NL5RH,773,5,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,5,0.1964747736093143,1.0,0.0236093143596377,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,2.1751859688201063,-1.1596494684994507,101.6457841295001,40.09290540540542,0.9441809651743958,True,False,unknown,pass,False,True,9.0462040144101,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-03T11:50:00,107.3345117427111,-5.688727613211,False,53.822370500659474,15.576904037723354,5,1.0,59.143805846459415,26.752676350372788,9.057524603356805,19.784953750791612,29.567959611092522,43.984060461559416,59.17452907143276,74.33708869510366,88.66689533174123,98.35661684319295,108.9844062588168,-4.0573556539871936,0.4054700982858887,56.379112020456716,61.48904649444427,56.79975582988827,10.69918898972032,35.861766709164094,43.08080963302216,56.807684028209096,70.43452633029794,77.91281117164006,2.9173412543000543,2.0781239447792146,0.029806349746806952,2279.8278695722292,53.57126195853653,53.822370500659474,54.20300087672237,56.60376340178176,M-0006,L,12,2024-07-03
C-M-0006-L.21-M1744-4.2024-07-04-11-48.NL5RH.JPG,,7_04,6,148,686,158,831.84375,99,679,198,842,141,40,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-04T00:00:00,2024-07-04 11:48:00,11:45,11:00-12:00,2,48,583268,abf7753eda95d5f9bbe5bdba36c2368f715052b786c3bd8dcd3912d49c2b2714,C-M-0006-L.21-M1744-4.2024-07-04-11-48.NL5RH,773,6,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,6,0.2004366106080207,1.0,0.0079236739974126,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,2.51363237604842,-1.0405214673668566,108.33060914729764,35.24915540540542,0.8301114931862947,True,False,unknown,pass,False,True,9.089685973253308,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-04T11:48:00,101.6457841295001,6.684825017797536,False,56.01386323191426,15.576904037723354,6,0.9986111111111111,59.41413847682472,26.84959827567015,9.091402919657078,19.838009860161044,29.67877610963197,44.17461163684413,59.43792647640576,74.69084188546877,89.11264380187893,98.84362525901943,109.47087014420909,-4.043584188353444,0.4394515904666978,53.822370500659474,51.26918001075084,57.893608418531294,10.731939966783525,37.16922561766711,44.333080891541954,57.91668713215671,71.54054945801468,79.04961866909936,2.8275418419359664,2.0663501609422124,0.029443505093651207,4417.304560867893,54.79256259522539,56.01386323191426,55.56198033775654,57.91975747856835,M-0006,L,12,2024-07-04
C-M-0006-L.21-M1744-4.2024-07-05-11-47.NL5RH.JPG,,7_05,6,31,667,53,840.421875,4,658,77,859,182,46,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-05T00:00:00,2024-07-05 11:47:00,11:45,11:00-12:00,2,48,595482,f3db3afa51904c024330183a028fb3b81d4e783ad4a55383a37b04c3dd33d990,C-M-0006-L.21-M1744-4.2024-07-05-11-47.NL5RH,773,7,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,7,0.1345003234152652,1.0,0.131872574385511,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,2.9720350800617865,-1.251541505308605,128.73461432208953,43.82728040540542,1.032124848416835,True,False,unknown,pass,False,True,9.367796910345897,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-05T11:47:00,108.33060914729764,20.40400517479189,False,70.98906356215525,15.576904037723354,7,0.9993055555555556,60.78214625599641,26.776941802346098,10.911168946110784,21.558682350413548,31.251745300016477,45.575289188149796,60.73104618691852,75.9325419996703,90.40625559494141,100.25494646433212,111.04668691753666,-4.1416312145816185,0.6762362271442551,56.01386323191426,58.20687994976936,65.26270104265303,10.715857975558205,43.97985645930565,51.542459205144795,65.38819412151678,78.82660536277804,86.40105769004042,3.0140644314002865,2.052906049131158,0.03209962821277197,3607.8071883558846,62.89081307869032,56.01386323191426,63.77460534935568,65.36923901864365,M-0006,L,12,2024-07-05
C-M-0006-L.21-M1744-4.2024-07-06-11-48.NL5RH.JPG,,7_06,6,146,679,155,837.7109375,111,674,190,847,156,52,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-06T00:00:00,2024-07-06 11:48:00,11:45,11:00-12:00,2,48,604036,d83a9f25834debbbb23b9bfd4bb5ec7d73d5a9104390250e880972f66db6857a,C-M-0006-L.21-M1744-4.2024-07-06-11-48.NL5RH,773,8,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,8,0.167508893919793,1.0,0.0660171410090556,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,2.6826403344097054,-1.1848290940576591,117.88046817968528,41.11634290540542,0.9682827407073656,True,False,unknown,pass,False,True,9.224749470011997,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-06T11:48:00,128.73461432208953,-10.85414614240426,False,61.49259506005121,15.576904037723354,8,1.0006944444444446,68.17430572113466,26.8228726448267,18.081688272254212,28.830762060269915,38.584498438105506,52.94215727559557,68.12593747020406,83.37731307103321,97.87914437236586,107.70891352890592,118.44369222247634,-4.073816270164115,0.3836185354863526,70.98906356215525,85.98507723545426,65.08292228049078,10.666382290119955,44.34520688328037,51.79379614625975,65.01117801518,78.84047051225498,86.14335647113113,2.8946476872109668,2.036806595269929,0.030223211780055846,2999.138521106897,62.191704069370765,61.49259506005121,63.85582578288239,65.27232603977737,M-0006,L,12,2024-07-06
C-M-0006-L.21-M1744-4.2024-07-07-11-48.NL5RH.JPG,,7_07,6,144,663,151,831.85546875,110,654,195,844,163,58,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-07T00:00:00,2024-07-07 11:48:00,11:45,11:00-12:00,2,48,572176,e630bb23200585a4c8c8741792ab649ea2c914293adabafdb5cc890d54f894a0,C-M-0006-L.21-M1744-4.2024-07-07-11-48.NL5RH,773,9,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,9,0.1814258570504527,1.0,0.0278339262613195,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,3.0684066003992743,-1.0408095951321392,125.24890963979747,35.26087415540542,0.8303874677152981,True,False,unknown,pass,False,True,9.280388694575198,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-07T11:48:00,117.88046817968528,7.368441460112209,False,64.04933657984844,15.576904037723354,9,1.0,68.1407138411405,26.847614457687722,17.851971551823084,28.633673010743227,38.45437745187054,52.90806167786193,68.1460503700026,83.38476325807984,97.82049890690683,107.60773166881096,118.34828567748248,-4.047694943803025,0.4275957306826621,61.49259506005121,57.49259506005121,66.29097906036282,10.727538233071783,45.25228441386917,52.76450535232011,66.385989120443,80.27537879250113,87.40044133421587,2.8237012607309318,2.0273804689429857,0.029546327800874142,2450.4236812769527,63.1205203246096,64.04933657984844,64.93779950786785,66.2987708781606,M-0006,L,12,2024-07-07
C-M-0006-L.21-M1744-4.2024-07-08-11-48.NL5RH.JPG,,7_08,6,146,649,152,831.427734375,114,639,183,842,182,64,2024-IA_Marsden_UFMu,C-M-0006-L.21-M1744-4,2024-06-28,2024-07-08T00:00:00,2024-07-08 11:48:00,11:45,11:00-12:00,2,48,585510,f7589f638fea15ddfd3358572fc24c1cffa4d4a660290049c7fa24a326b8cb3c,C-M-0006-L.21-M1744-4.2024-07-08-11-48.NL5RH,773,10,True,C-M-0006-L.21-M1744-4.2024-06-28-11-35.NL5RH,2024-06-28 11:35:00,16.0,42.46315789473687,150.32530120481928,796.5945945945946,0.719058159681045,2.108617996282079,0.0297696849506465,2.4755128207428103,-4.697997502733375,7.553981862910267,-0.0117119179809268,474.6540813051306,195.7564037755809,10,0.1890311691461837,1.0,0.0152106241914618,matched,C-M-0006-L.21-M1744-4.2024-06-29-11-34.NL5RH,C-M-0006-L.21-M1744-4_p1,6,pass,3.405339846248657,-1.0302931991663236,135.1980952242486,34.83313978040542,0.8203143974066714,True,False,unknown,pass,False,True,9.401310737776338,prespecified_pilot_model,best_passing_calibration_to_date,sequential_position_prior_with_ewma_update,2024-07-08T11:48:00,125.24890963979747,9.949185584451117,False,70.98906356215525,15.576904037723354,10,1.0,69.20313814472601,26.790696620544995,19.28541513290305,29.956275998981248,39.669376476793076,54.00431590172314,69.14486554529944,84.33317722615774,98.83571480881584,108.74206029559268,119.6182802219119,-4.0282089899500075,0.5329256983972978,64.04933657984844,66.60607809964569,69.91504508709966,10.609806391651222,49.00202540702605,56.120299598250504,69.90195571208454,83.38230996890516,90.75481149311818,2.8752381995876095,2.0039863904828015,0.029039614747796545,4452.01760871788,67.05479194338243,64.04933657984844,68.85980356871204,69.95590097447199,M-0006,L,12,2024-07-08
