date,nominal_coverage,n,covered,empirical_coverage,mean_width_cm
2021-07-02,0.8,23,22,0.9565217391304348,44.691961206321416
2021-07-11,0.8,32,31,0.96875,75.2490021185369
2021-07-18,0.8,27,21,0.7777777777777778,30.35146635090103
2021-07-30,0.8,31,27,0.8709677419354839,42.956516580239644
2021-08-06,0.8,19,14,0.7368421052631579,39.001545249507124
2021-07-02,0.95,23,23,1.0,68.28846325765899
2021-07-11,0.95,32,32,1.0,115.24733986482228
2021-07-18,0.95,27,25,0.9259259259259259,49.308296865161175
2021-07-30,0.95,31,28,0.9032258064516129,71.2685487667296
2021-08-06,0.95,19,17,0.8947368421052632,60.94305225155307
