k_dropped,true_ft,pred_ft,below_ft,error_ft,error_cm,image_id,camera
1,0.0,-0.02170258279379593,1.0,-0.02170258279379593,-0.6614947235548999,25-BR546.UFMu-00589.2025-06-16-11-47.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.021024967614993884,2.0,-0.021024967614993884,-0.6408410129050136,25-BR546.UFMu-00589.2025-06-16-11-47.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.000972919967716,1.0,0.0009729199677159794,0.029654600615983052,25-BR546.UFMu-00589.2025-06-16-11-47.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.03458660314756965,3.0,-0.03458660314756965,-1.054199663937923,25-BR546.UFMu-00589.2025-06-16-11-47.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9906662420397787,2.0,-0.00933375796022129,-0.28449294262754493,25-BR546.UFMu-00589.2025-06-16-11-47.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9863217625018112,1.0,-0.01367823749818875,-0.4169126789447931,25-BR546.UFMu-00589.2025-06-16-11-47.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.020340190082810832,1.0,-0.020340190082810832,-0.6199689937240742,25-BR546.UFMu-00589.2025-06-17-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.030131055096212472,2.0,-0.030131055096212472,-0.9183945593325562,25-BR546.UFMu-00589.2025-06-17-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9859355821182562,1.0,-0.01406441788174384,-0.4286834570355523,25-BR546.UFMu-00589.2025-06-17-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.045828307827443814,3.0,-0.045828307827443814,-1.3968468225804875,25-BR546.UFMu-00589.2025-06-17-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9739739922870705,2.0,-0.02602600771292951,-0.7932727150900915,25-BR546.UFMu-00589.2025-06-17-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9841156049043522,1.0,-0.015884395095647763,-0.48415636251534383,25-BR546.UFMu-00589.2025-06-17-11-51.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.015108699638862693,1.0,-0.015108699638862693,-0.4605131649925349,25-BR546.UFMu-00589.2025-06-18-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.025891675072072615,2.0,-0.025891675072072615,-0.7891782561967733,25-BR546.UFMu-00589.2025-06-18-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9844925633180838,1.0,-0.015507436681916231,-0.4726666700648067,25-BR546.UFMu-00589.2025-06-18-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.040296495318456665,3.0,-0.040296495318456665,-1.2282371773065592,25-BR546.UFMu-00589.2025-06-18-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9734995628225118,2.0,-0.02650043717748818,-0.8077333251698396,25-BR546.UFMu-00589.2025-06-18-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9854075041498047,1.0,-0.014592495850195286,-0.44477927351395236,25-BR546.UFMu-00589.2025-06-18-11-41.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.020518081607099045,1.0,-0.020518081607099045,-0.6253911273843789,25-BR546.UFMu-00589.2025-06-19-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.035863919612689726,2.0,-0.035863919612689726,-1.093132269794783,25-BR546.UFMu-00589.2025-06-19-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9779599383850216,1.0,-0.0220400616149784,-0.6717810780245417,25-BR546.UFMu-00589.2025-06-19-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.049469708396410475,3.0,-0.049469708396410475,-1.5078367119225913,25-BR546.UFMu-00589.2025-06-19-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9675819004937295,2.0,-0.032418099506270504,-0.988103672951125,25-BR546.UFMu-00589.2025-06-19-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9862395651246296,1.0,-0.013760434875370375,-0.41941805500128904,25-BR546.UFMu-00589.2025-06-19-11-46.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.016285665164428278,1.0,-0.016285665164428278,-0.4963870742117739,25-BR546.UFMu-00589.2025-06-20-11-49.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.03008320770667258,2.0,-0.03008320770667258,-0.9169361708993802,25-BR546.UFMu-00589.2025-06-20-11-49.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9801612670629656,1.0,-0.01983873293703442,-0.6046845799208092,25-BR546.UFMu-00589.2025-06-20-11-49.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.03909536975145949,3.0,-0.03909536975145949,-1.1916268700244852,25-BR546.UFMu-00589.2025-06-20-11-49.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9732818817942546,2.0,-0.026718118205745434,-0.8143682429111209,25-BR546.UFMu-00589.2025-06-20-11-49.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9908781394892132,1.0,-0.009121860510786783,-0.2780343083687812,25-BR546.UFMu-00589.2025-06-20-11-49.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.010003988098739166,1.0,-0.010003988098739166,-0.3049215572495698,25-BR546.UFMu-00589.2025-06-21-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.013414836227132942,2.0,-0.013414836227132942,-0.4088842082030121,25-BR546.UFMu-00589.2025-06-21-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9951239941018971,1.0,-0.004876005898102886,-0.148620659774176,25-BR546.UFMu-00589.2025-06-21-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.019989821346501995,3.0,-0.019989821346501995,-0.6092897546413808,25-BR546.UFMu-00589.2025-06-21-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9901099472886106,2.0,-0.00989005271138943,-0.3014488066431498,25-BR546.UFMu-00589.2025-06-21-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9933687892546306,1.0,-0.006631210745369431,-0.20211930351886026,25-BR546.UFMu-00589.2025-06-21-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,0.0061494462560319554,1.0,0.0061494462560319554,0.187435121883854,25-BR546.UFMu-00589.2025-06-22-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,0.004195843979657323,2.0,0.004195843979657323,0.1278893244999552,25-BR546.UFMu-00589.2025-06-22-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9971943655935772,1.0,-0.0028056344064227856,-0.08551573670776651,25-BR546.UFMu-00589.2025-06-22-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.005625114221572894,3.0,-0.005625114221572894,-0.1714534814735418,25-BR546.UFMu-00589.2025-06-22-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9896752350487256,2.0,-0.010324764951274434,-0.31469883571484475,25-BR546.UFMu-00589.2025-06-22-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.9900344528566465,1.0,-0.009965547143353515,-0.30374987692941513,25-BR546.UFMu-00589.2025-06-22-11-42.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.019564087346739978,1.0,-0.019564087346739978,-0.5963133823286345,25-BR546.UFMu-00589.2025-06-27-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.018482697560025838,2.0,-0.018482697560025838,-0.5633526216295875,25-BR546.UFMu-00589.2025-06-27-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,1.00071411059731,1.0,0.0007141105973100803,0.02176609100601125,25-BR546.UFMu-00589.2025-06-27-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.024655261849257874,3.0,-0.024655261849257874,-0.75149238116538,25-BR546.UFMu-00589.2025-06-27-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9970442008935608,2.0,-0.002955799106439172,-0.09009275676426597,25-BR546.UFMu-00589.2025-06-27-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.997962562374181,1.0,-0.002037437625818983,-0.062101098834962606,25-BR546.UFMu-00589.2025-06-27-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.3012158180637629,1.0,-0.3012158180637629,-9.181058134583493,25-BR546.UFMu-00589.2025-07-02-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.30761393067753795,2.0,-0.30761393067753795,-9.376072607051357,25-BR546.UFMu-00589.2025-07-02-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9956484831247111,1.0,-0.004351516875288897,-0.13263423435880556,25-BR546.UFMu-00589.2025-07-02-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
3,0.0,-0.30947094796354063,3.0,-0.30947094796354063,-9.432674493928719,25-BR546.UFMu-00589.2025-07-02-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
3,1.0,0.9945985555929979,2.0,-0.005401444407002076,-0.16463602552542328,25-BR546.UFMu-00589.2025-07-02-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
3,2.0,1.999304092523031,1.0,-0.0006959074769690154,-0.021211259898015592,25-BR546.UFMu-00589.2025-07-02-11-44.NJ3HL.000030110930,25-BR546.UFMu-00589
1,0.0,-0.24125475871497937,1.0,-0.24125475871497937,-7.353445045632571,25-BR546.UFMu-00589.2025-07-04-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
2,0.0,-0.2596114766958357,2.0,-0.2596114766958357,-7.912957809689072,25-BR546.UFMu-00589.2025-07-04-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
2,1.0,0.9872069506738951,1.0,-0.012793049326104922,-0.389932143459678,25-BR546.UFMu-00589.2025-07-04-11-38.NJ3HL.000030110930,25-BR546.UFMu-00589
