camera,plantid,day,manual_height_cm,single_frame_cm,post_detection_filter_cm,plain_candidate_index,prior_guided_filter_cm,prior_candidate_index,same_candidate
C_004,p1,07_02,46.0,43.25577386437989,43.25577386437989,3,43.25577386437989,3,True
C_004,p3,07_02,74.0,42.08010394396973,42.08010394396973,4,42.08010394396973,4,True
C_004,p4,07_02,60.0,47.02773601208495,47.02773601208495,2,47.02773601208495,2,True
C_004,p1,07_11,60.0,68.1802757043457,67.4984572519886,0,67.4984572519886,0,True
C_004,p3,07_11,82.0,78.27548698547362,77.270540879878,1,77.270540879878,1,True
C_004,p4,07_11,84.0,84.239658765625,82.95116153912574,4,82.95116153912574,4,True
C_004,p1,07_18,132.0,97.91371325598143,96.43175080522342,2,96.43175080522342,2,True
C_004,p3,07_18,130.0,118.53674965478515,116.74438844611305,1,116.74438844611305,1,True
C_004,p4,07_18,130.0,116.79251097741698,115.82582921492994,3,115.82582921492994,3,True
C_004,p1,07_30,70.0,87.55281113244628,91.15640025965362,5,91.15640025965362,5,True
C_004,p3,07_30,136.0,121.17665102197265,124.43101235486783,0,124.43101235486783,0,True
C_004,p4,07_30,140.0,139.82284551092528,141.60873979012462,3,141.60873979012462,3,True
C_004,p1,08_06,110.0,86.21006591589355,88.81125879810438,5,88.81125879810438,5,True
C_004,p3,08_06,132.0,118.51399319732666,121.98079477785531,0,121.98079477785531,0,True
C_004,p4,08_06,140.0,131.4699691321411,136.1718389119936,2,136.1718389119936,2,True
C_005,p1,07_11,113.0,112.06611025897216,112.06611025897216,3,112.06611025897216,3,True
C_005,p4,07_11,78.0,98.35541444531249,98.35541444531249,1,98.35541444531249,1,True
C_005,p5,07_11,108.0,114.47851051074218,114.47851051074218,0,114.47851051074218,0,True
C_005,p1,07_18,140.0,113.89137360137939,113.81680308099008,0,113.81680308099008,0,True
C_005,p4,07_18,120.0,121.43650362097168,120.35697562637358,3,120.35697562637358,3,True
C_005,p5,07_18,132.0,128.6657085211792,128.06533815698322,2,128.06533815698322,2,True
C_005,p1,07_30,144.0,99.19929445446776,99.92575384024784,0,99.92575384024784,0,True
C_005,p4,07_30,130.0,121.73416519195555,123.15013074161217,2,123.15013074161217,2,True
C_005,p5,07_30,140.0,134.46102814849854,135.07967816944756,1,135.07967816944756,1,True
C_005,p1,08_06,144.0,109.06689039367673,107.36603489743962,0,107.36603489743962,0,True
C_005,p4,08_06,130.0,122.83521982324218,124.01700723217272,2,124.01700723217272,2,True
C_005,p5,08_06,138.0,116.71165130621337,119.98890663207287,1,119.98890663207287,1,True
C_009,p1,07_11,78.0,69.61831120678711,69.61831120678711,4,69.61831120678711,4,True
C_009,p2,07_11,70.0,78.20415888122558,78.20415888122558,1,78.20415888122558,1,True
C_009,p3,07_11,58.0,65.77804161120605,65.77804161120605,0,65.77804161120605,0,True
C_009,p1,07_18,120.0,102.6832027491455,101.29881374995465,2,101.29881374995465,2,True
C_009,p2,07_18,100.0,88.87207645703124,88.32256784778971,4,88.32256784778971,4,True
C_009,p3,07_18,90.0,83.12214282629392,82.32151558169996,3,82.32151558169996,3,True
C_009,p1,07_30,142.0,133.7579894156494,134.3478900562036,2,134.3478900562036,2,True
C_009,p2,07_30,126.0,134.3934695187988,132.9366391739496,4,132.9366391739496,4,True
C_009,p3,07_30,146.0,138.85120950579832,137.4744921343327,0,137.4744921343327,0,True
C_009,p1,08_06,148.0,128.52540030187984,132.76544517599692,4,132.76544517599692,4,True
C_009,p2,08_06,132.0,124.83146754650878,128.66499374271405,3,128.66499374271405,3,True
C_009,p3,08_06,136.0,131.5167766140747,135.57868324579508,0,135.57868324579508,0,True
C_010,p1,07_02,70.0,62.27309025659179,62.27309025659179,4,62.27309025659179,4,True
C_010,p2,07_02,60.0,64.02258335302734,64.02258335302734,3,64.02258335302734,3,True
C_010,p3,07_02,80.0,73.6222293034668,73.6222293034668,5,73.6222293034668,5,True
C_010,p1,07_11,90.0,79.59069092333984,78.97531343401633,4,78.97531343401633,4,True
C_010,p2,07_11,78.0,71.35315792736816,71.15480873683545,0,71.15480873683545,0,True
C_010,p3,07_11,70.0,68.36509418371581,68.51815154171194,1,68.51815154171194,1,True
C_010,p1,07_18,120.0,106.74560481457516,104.70449673762818,5,104.70449673762818,5,True
C_010,p2,07_18,110.0,101.07870115856933,98.18431813357057,3,98.18431813357057,3,True
C_010,p1,07_30,116.0,102.76458278552245,105.41172468536746,5,105.41172468536746,5,True
C_010,p2,07_30,112.0,105.90195325842285,107.19636352493137,4,107.19636352493137,4,True
C_011,p1,07_11,96.0,85.26160519873046,85.26160519873046,1,85.26160519873046,1,True
C_011,p2,07_11,86.0,75.63025504821778,75.63025504821778,0,75.63025504821778,0,True
C_011,p3,07_11,86.0,71.72099264575195,71.72099264575195,5,71.72099264575195,5,True
C_011,p1,07_18,100.0,123.79608046173095,122.00597426092926,4,122.00597426092926,4,True
C_011,p2,07_18,110.0,106.95425855725097,105.57940618831861,1,105.57940618831861,1,True
C_011,p3,07_18,110.0,104.50185364630126,103.06838851291835,0,103.06838851291835,0,True
C_011,p1,07_30,196.0,164.15171960491944,164.6445303520955,4,164.6445303520955,4,True
C_011,p2,07_30,196.0,162.95075486035157,162.27476715537804,3,162.27476715537804,3,True
C_011,p3,07_30,196.0,158.15185838897705,157.7060913244398,0,157.7060913244398,0,True
C_021,p3,07_02,48.0,50.094590658081046,50.094590658081046,2,50.094590658081046,2,True
C_021,p4,07_02,40.0,39.72901793981933,39.72901793981933,3,39.72901793981933,3,True
C_021,p4,07_11,58.0,70.24127716210937,69.26956571883596,2,69.26956571883596,2,True
C_021,p4,07_18,114.0,51.00784422912598,55.019183194558465,1,55.019183194558465,1,True
C_021,p4,07_30,110.0,85.34163990075683,83.56903101422269,2,83.56903101422269,2,True
