camera_genotype,model,split,n,cameras,plants,bias_cm,mae_cm,rmse_cm,mean_log_score,mean_wis_cm,mean_pit
25-BR546.UFMu-00589,guessed,2025,65,1,5,-2.6578574881181827,17.712566179902968,22.804946966429636,-4.827341690588386,9.695786525501546,0.5248985355992588
25-W571.UFMu-03509,guessed,2025,307,1,6,4.3800915143517996,15.337366789525557,22.798190873119697,-4.44643291377294,8.582448536933398,0.4587100445002746
C-M-0006-L.21-M1744-4,guessed,2024,180,1,6,3.992048343844657,13.826793477418788,20.165113372836963,-4.340650684416342,7.6033020285228,0.4615060366275003
C-M-0006-R.21-M1744-4,guessed,2024,210,1,6,1.2063272361934716,15.51599325041449,21.087928998967378,-4.448070574979557,7.94022813157939,0.4852265068348088
C-M-0013-L.23-M1619-4_M1619-8,guessed,2024,238,1,6,3.081954077252475,16.541070845204775,22.688914699499723,-4.696556177063523,9.176115891055854,0.4744372937305027
C-M-0013-R.23-M1619-4_M1619-8,guessed,2024,190,1,6,0.8067862324857358,14.214776229676367,18.368815964061643,-4.335043802857289,6.877973813923173,0.49489993413256195
C-W-0010-L.21-M1745-1,guessed,2024,237,1,6,6.816637089936193,17.373419974325483,26.341551033302725,-4.653022298988847,10.293360742359942,0.4533252602038429
C-W-0015-R.23-M1619-5_M1619-8,guessed,2024,211,1,6,5.983187339701126,21.016171935776704,30.448538958159975,-4.912090562189212,12.669285574139714,0.4596319447356415
25-BR546.UFMu-00589,unit_consistent,2025,65,1,5,-0.6999406484176306,18.20329003181179,24.327389825274732,-4.650699153534609,9.459048763902764,0.490970443720607
25-W571.UFMu-03509,unit_consistent,2025,307,1,6,1.0356183311767067,15.023112474521698,22.577547366464955,-4.451620832098253,8.412429103821674,0.4964438270397172
C-M-0006-L.21-M1744-4,unit_consistent,2024,180,1,6,0.9633954229192169,14.31738663051974,20.73037252391328,-4.431564803632623,7.974833432631815,0.49827857070614795
C-M-0006-R.21-M1744-4,unit_consistent,2024,210,1,6,-0.10009372944517275,14.14645078451539,18.952415950947017,-4.377910816774332,7.410144662191221,0.5030472646035518
C-M-0013-L.23-M1619-4_M1619-8,unit_consistent,2024,238,1,6,-1.051498374117692,14.480568263880842,19.49124817851914,-4.3938573689026565,7.526246017680867,0.5126429911292604
C-M-0013-R.23-M1619-4_M1619-8,unit_consistent,2024,190,1,6,-0.6321796305989672,13.437183909009269,17.702188777723286,-4.364133188391744,7.155318965025133,0.509446177252931
C-W-0010-L.21-M1745-1,unit_consistent,2024,237,1,6,0.8858007854066032,15.91658342856976,22.551558625909067,-4.4501273605644664,8.349107546938157,0.4981067178766251
C-W-0015-R.23-M1619-5_M1619-8,unit_consistent,2024,211,1,6,-1.659706274782267,17.40789611642759,24.59304957776333,-4.538739201913074,9.092590048470395,0.5218198293658945
