model,split,nominal_coverage,empirical_coverage,mean_width_cm,median_width_cm,n
guessed,all,0.5,0.3803418803418803,16.37072739738955,15.603965457185268,1638
guessed,all,0.8,0.645909645909646,32.44920160573205,31.00645852418539,1638
guessed,all,0.9,0.7716727716727717,44.698657805637765,42.89028782856467,1638
guessed,all,0.95,0.8858363858363858,66.63582768273433,64.56522749994656,1638
guessed,2024_development,0.5,0.3767772511848341,16.343223944410816,15.599766050830347,1266
guessed,2024_development,0.8,0.636650868878357,32.38034014417751,30.977065661245845,1266
guessed,2024_development,0.9,0.764612954186414,44.62107859225659,42.86286498713125,1266
guessed,2024_development,0.95,0.8854660347551343,66.65455678135173,64.53756000364604,1266
guessed,2025_locked_test,0.5,0.3924731182795699,16.46432785833331,15.66420165236217,372
guessed,2025_locked_test,0.8,0.6774193548387096,32.683552708764466,31.069016569497244,372
guessed,2025_locked_test,0.9,0.7956989247311828,44.9626773866608,43.02714224548722,372
guessed,2025_locked_test,0.95,0.8870967741935484,66.57208833098805,64.69807888564321,372
unit_consistent,all,0.5,0.6398046398046398,30.66509744333344,29.17040423143129,1638
unit_consistent,all,0.8,0.8748473748473748,59.403336226205916,56.46628060995159,1638
unit_consistent,all,0.9,0.9377289377289377,78.36327246033272,74.53063196382436,1638
unit_consistent,all,0.95,0.963980463980464,98.11939135944043,93.76223351656212,1638
unit_consistent,2024_development,0.5,0.636650868878357,30.675105568934708,29.05072102382057,1266
unit_consistent,2024_development,0.8,0.8783570300157978,59.42027205937184,56.29076235103816,1266
unit_consistent,2024_development,0.9,0.9407582938388626,78.41038053686412,74.35973602797472,1266
unit_consistent,2024_development,0.95,0.9684044233807267,98.20185037701941,93.6521140024449,1266
unit_consistent,2025_locked_test,0.5,0.6505376344086021,30.631037532012982,29.333552388246716,372
unit_consistent,2025_locked_test,0.8,0.8629032258064516,59.3456997617219,56.84826009013497,372
unit_consistent,2025_locked_test,0.9,0.9274193548387096,78.20295303858875,75.06774458526465,372
unit_consistent,2025_locked_test,0.95,0.9489247311827957,97.83876470284092,94.24020589363023,372
